,Municipality,Province,Season,Crop,Area,Production
530,1,274,4,2,155.0,658350.0
531,1,274,4,8,17743.0,88929.0
532,1,274,4,9,3178.0,25978.0
533,1,274,4,10,3132.0,408557.0
534,1,274,1,7,68.0,117.0
535,1,274,1,11,23356.0,60025.0
536,1,274,2,7,4.0,22.0
537,1,274,2,11,10767.0,24032.0
538,1,274,4,0,3771.0,158827.0
539,1,274,4,2,104.0,406980.0
540,1,274,4,8,17864.0,359248.0
541,1,274,4,9,3378.0,56464.0
542,1,274,4,10,2272.0,281598.0
543,1,274,1,7,125.0,359.0
544,1,274,1,11,46932.0,149619.0
545,1,274,2,11,5689.0,11424.0
546,1,274,4,0,3396.0,197474.0
547,1,274,4,2,95.0,725372.0
548,1,274,1,7,156.0,804.0
549,1,274,1,11,45556.0,85828.0
550,1,274,2,7,1.0,7.0
551,1,274,2,11,21197.0,55791.0
552,1,274,4,0,2978.0,196691.0
553,1,274,4,2,96.0,384384.0
554,1,274,1,7,123.0,439.0
555,1,274,1,11,41908.0,114493.0
556,1,274,2,7,35.0,265.0
557,1,274,2,11,4997.0,10963.0
558,1,274,4,0,4440.0,275653.0
559,1,274,4,2,92.0,744660.0
560,1,274,1,11,45000.0,139000.0
561,1,274,2,11,17000.0,45000.0
562,1,274,1,7,623.0,2909.0
563,1,274,1,11,50183.0,87168.0
564,1,274,2,7,1398.0,12344.0
565,1,274,2,11,14883.0,41271.0
566,1,274,4,0,4058.0,221705.0
567,1,274,4,2,126.0,1143384.0
568,1,274,1,7,559.0,2072.0
569,1,274,1,11,52423.0,153757.0
570,1,274,2,7,840.0,6140.0
571,1,274,2,11,12894.0,34169.0
572,1,274,4,0,5985.0,381424.0
573,1,274,4,2,127.0,745965.0
574,1,274,1,7,426.0,2182.0
575,1,274,1,11,53345.0,80657.0
576,1,274,2,7,987.0,8998.0
577,1,274,2,11,17037.0,48896.0
578,1,274,4,0,8706.0,488607.0
579,1,274,1,7,574.0,1903.0
580,1,274,1,11,47290.0,141161.0
581,1,274,2,7,1014.0,7868.0
582,1,274,2,11,6606.0,17499.0
583,1,274,4,0,7900.0,518880.0
584,1,274,4,2,132.0,1056480.0
585,1,274,1,4,1.0,18.0
586,1,274,1,7,497.0,2017.0
587,1,274,1,8,20328.0,205333.0
