,Municipality,Province,Crop_Year,Season,Crop,Area,Production
293,Andhra Pradesh,EAST GODAVARI,1999,Rabi,Maize,4266.0,20652.0
294,Andhra Pradesh,EAST GODAVARI,1999,Rabi,Rice,161551.0,645162.0
295,Andhra Pradesh,EAST GODAVARI,2000,Kharif,Maize,1406.0,3661.0
296,Andhra Pradesh,EAST GODAVARI,2000,Kharif,Rice,253966.0,683423.0
297,Andhra Pradesh,EAST GODAVARI,2000,Rabi,Maize,4108.0,22117.0
298,Andhra Pradesh,EAST GODAVARI,2000,Rabi,Rice,162861.0,683202.0
299,Andhra Pradesh,EAST GODAVARI,2000,Whole Year,Banana,11043.0,124386.0
300,Andhra Pradesh,EAST GODAVARI,2000,Whole Year,Coconut,48237.0,588584535.0
301,Andhra Pradesh,EAST GODAVARI,2001,Kharif,Maize,1204.0,3218.0
302,Andhra Pradesh,EAST GODAVARI,2001,Kharif,Rice,220811.0,579850.0
303,Andhra Pradesh,EAST GODAVARI,2001,Rabi,Maize,2597.0,16810.0
304,Andhra Pradesh,EAST GODAVARI,2001,Rabi,Rice,165779.0,750150.0
305,Andhra Pradesh,EAST GODAVARI,2001,Whole Year,Banana,10258.0,122822.0
306,Andhra Pradesh,EAST GODAVARI,2001,Whole Year,Coconut,48515.0,629772990.0
307,Andhra Pradesh,EAST GODAVARI,2002,Kharif,Maize,1423.0,1379.0
308,Andhra Pradesh,EAST GODAVARI,2002,Kharif,Rice,194809.0,551115.0
309,Andhra Pradesh,EAST GODAVARI,2002,Rabi,Maize,5975.0,41407.0
310,Andhra Pradesh,EAST GODAVARI,2002,Rabi,Rice,106427.0,491906.0
311,Andhra Pradesh,EAST GODAVARI,2002,Whole Year,Banana,7949.0,116270.0
312,Andhra Pradesh,EAST GODAVARI,2002,Whole Year,Coconut,49479.0,685943720.0
313,Andhra Pradesh,EAST GODAVARI,2002,Whole Year,Mango,18957.0,92583.0
